alert_id,customer_id,analyst_id,typology,alert_status,risk_score,alert_amount_inr,alert_gen_date,alert_closure_date,days_to_close,sla_days,sla_breached,alert_year,alert_month,alert_quarter,year_month,alert_source,jurisdiction_flag,str_reference,escalated_to_mlro,account_type,region,city,income_range,customer_risk_rating
ALT0000955,CUS000660,ANL001,Shell Company Activity,Under Investigation,29.42,325134.34,2023-01-24,,,10,,2023,1,Q1,2023-01,Watchlist Match,,,0,NRE,East,Patna,2L-5L,High
ALT0000956,CUS001526,ANL001,Rapid Fund Movement,False Positive,19.93,163505.93,2023-08-20,2023-08-24,4.0,10,0.0,2023,8,Q3,2023-08,ML Anomaly Model,,,0,Current,North,Chandigarh,5L-10L,Medium
ALT0000957,CUS000029,ANL011,Structuring / Smurfing,False Positive,30.35,2149.22,2024-06-19,2024-07-08,19.0,15,1.0,2024,6,Q2,2024-06,Rule-Based Engine,,,0,NRE,Central,Raipur,10L-25L,Medium
ALT0000958,CUS000074,ANL005,PEP-Related Transaction,True Positive — No STR,23.2,406901.17,2024-03-26,2024-04-06,11.0,10,1.0,2024,3,Q1,2024-03,Peer Comparison Model,,,0,Savings,Central,Gwalior,5L-10L,Medium
ALT0000959,CUS000191,ANL015,Structuring / Smurfing,False Positive,8.51,13665.68,2023-09-16,2023-10-08,22.0,20,1.0,2023,9,Q3,2023-09,Watchlist Match,,,0,NRO,South,Coimbatore,5L-10L,High
ALT0000960,CUS001809,ANL003,Trade-Based Money Laundering,Under Investigation,71.08,15167.6,2023-08-09,,,10,,2023,8,Q3,2023-08,Manual Referral,,,0,Savings,West,Mumbai,2L-5L,Very High
ALT0000961,CUS000374,ANL018,Structuring / Smurfing,Under Investigation,94.09,38951189.38,2024-08-02,,,20,,2024,8,Q3,2024-08,Manual Referral,,,0,Savings,East,Patna,25L-50L,Medium
ALT0000962,CUS000949,ANL018,Suspected Mule Account,True Positive — STR Filed,42.35,116893.76,2022-12-07,2023-01-08,32.0,20,1.0,2022,12,Q4,2022-12,Watchlist Match,,STR-2022-7079,0,NRO,North,Delhi,25L-50L,Low
ALT0000963,CUS000221,ANL007,Shell Company Activity,Under Investigation,50.01,206386.5,2024-05-15,,,10,,2024,5,Q2,2024-05,Watchlist Match,,,0,Savings,West,Ahmedabad,10L-25L,High
ALT0000964,CUS000729,ANL005,Trade-Based Money Laundering,True Positive — STR Filed,53.3,21612.56,2023-08-26,2023-08-29,3.0,10,0.0,2023,8,Q3,2023-08,Manual Referral,,STR-2023-4657,0,NRE,North,Amritsar,>50L,Low
ALT0000965,CUS000279,ANL006,PEP-Related Transaction,True Positive — No STR,50.67,11328.14,2022-04-22,2022-04-27,5.0,10,0.0,2022,4,Q2,2022-04,ML Anomaly Model,,,0,Current,West,Surat,10L-25L,Low
ALT0000966,CUS000454,ANL012,Round-Tripping,False Positive,31.91,167804.14,2024-11-24,2024-12-03,9.0,15,0.0,2024,11,Q4,2024-11,Manual Referral,,,0,NRO,South,Kochi,2L-5L,Low
ALT0000967,CUS000682,ANL017,PEP-Related Transaction,True Positive — STR Filed,73.65,612152.35,2022-10-19,2022-11-09,21.0,20,1.0,2022,10,Q4,2022-10,Watchlist Match,,STR-2022-4659,0,Current,East,Ranchi,2L-5L,High
ALT0000968,CUS000645,ANL018,Unusual Cash Activity,False Positive,96.18,247454.12,2024-08-07,2024-08-23,16.0,20,0.0,2024,8,Q3,2024-08,Manual Referral,,,0,NRE,North,Amritsar,2L-5L,Medium
ALT0000969,CUS001781,ANL010,Dormant Account Reactivation,False Positive,62.64,1297189.26,2024-07-14,2024-07-22,8.0,15,0.0,2024,7,Q3,2024-07,Rule-Based Engine,,,0,NRE,Central,Jabalpur,5L-10L,Low
ALT0000970,CUS000796,ANL016,Suspected Mule Account,False Positive,33.15,50715.76,2022-07-05,2022-07-22,17.0,20,0.0,2022,7,Q3,2022-07,ML Anomaly Model,,,0,Savings,South,Chennai,2L-5L,Low
ALT0000971,CUS001236,ANL004,Round-Tripping,Pending Review,76.72,511.83,2024-10-22,,,10,,2024,10,Q4,2024-10,Manual Referral,,,0,Current,South,Coimbatore,5L-10L,Low
ALT0000972,CUS000777,ANL008,Rapid Fund Movement,True Positive — STR Filed,3.3,265645.84,2022-08-20,2022-08-25,5.0,10,0.0,2022,8,Q3,2022-08,Peer Comparison Model,,STR-2022-6008,0,Current,North,Amritsar,10L-25L,Very High
ALT0000973,CUS001601,ANL008,Dormant Account Reactivation,False Positive,8.12,446974.24,2023-01-04,2023-01-12,8.0,10,0.0,2023,1,Q1,2023-01,Manual Referral,,,0,Savings,West,Ahmedabad,5L-10L,Low
ALT0000974,CUS000334,ANL001,Trade-Based Money Laundering,False Positive,51.66,387222.03,2022-10-05,2022-10-13,8.0,10,0.0,2022,10,Q4,2022-10,Watchlist Match,,,0,Savings,East,Patna,5L-10L,Low
ALT0000975,CUS000171,ANL001,Shell Company Activity,Pending Review,14.03,578104.54,2024-03-16,,,10,,2024,3,Q1,2024-03,Rule-Based Engine,,,0,Current,Central,Gwalior,<2L,High
ALT0000976,CUS001838,ANL003,Trade-Based Money Laundering,True Positive — No STR,45.86,1168086.26,2024-04-26,2024-05-03,7.0,10,0.0,2024,4,Q2,2024-04,Peer Comparison Model,,,0,Savings,Central,Gwalior,5L-10L,Low
ALT0000977,CUS001460,ANL012,Structuring / Smurfing,False Positive,64.89,59488.44,2023-10-25,2023-11-16,22.0,15,1.0,2023,10,Q4,2023-10,Peer Comparison Model,,,0,Fixed Deposit,East,Kolkata,2L-5L,Low
ALT0000978,CUS000154,ANL011,Structuring / Smurfing,True Positive — No STR,93.7,21952.41,2024-07-12,2024-07-22,10.0,15,0.0,2024,7,Q3,2024-07,Rule-Based Engine,,,0,Savings,Central,Indore,<2L,Very High
ALT0000979,CUS000594,ANL017,Rapid Fund Movement,False Positive,46.8,47138.98,2022-02-21,2022-03-23,30.0,20,1.0,2022,2,Q1,2022-02,Manual Referral,,,0,Savings,East,Kolkata,10L-25L,High
ALT0000980,CUS000416,ANL018,Round-Tripping,Under Investigation,97.2,283970.22,2023-01-02,,,20,,2023,1,Q1,2023-01,Manual Referral,,,0,Savings,East,Bhubaneswar,5L-10L,Low
ALT0000981,CUS000499,ANL006,High-Risk Jurisdiction Transfer,Pending Review,64.43,585175.52,2024-07-18,,,10,,2024,7,Q3,2024-07,ML Anomaly Model,Panama,,0,Savings,West,Ahmedabad,2L-5L,Low
ALT0000982,CUS000136,ANL002,Round-Tripping,True Positive — No STR,77.96,14053.35,2023-02-18,2023-02-26,8.0,10,0.0,2023,2,Q1,2023-02,Rule-Based Engine,,,0,Current,South,Kochi,<2L,Low
ALT0000983,CUS001296,ANL001,Round-Tripping,Pending Review,76.9,21418.99,2024-07-20,,,10,,2024,7,Q3,2024-07,Manual Referral,,,0,Current,Central,Bhopal,>50L,High
ALT0000984,CUS000211,ANL003,Unusual Cash Activity,False Positive,17.38,106487.49,2022-07-04,2022-07-17,13.0,10,1.0,2022,7,Q3,2022-07,Watchlist Match,,,0,Current,South,Hyderabad,5L-10L,Low
ALT0000985,CUS001412,ANL015,Rapid Fund Movement,False Positive,49.18,3944620.64,2023-05-28,2023-06-19,22.0,20,1.0,2023,5,Q2,2023-05,Rule-Based Engine,,,0,Savings,West,Surat,5L-10L,Medium
ALT0000986,CUS001248,ANL009,Structuring / Smurfing,Under Investigation,9.48,17144.95,2023-10-26,,,15,,2023,10,Q4,2023-10,Rule-Based Engine,,,0,Overdraft,South,Chennai,10L-25L,Medium
ALT0000987,CUS000613,ANL010,Shell Company Activity,Pending Review,55.2,205976.12,2022-12-02,,,15,,2022,12,Q4,2022-12,Watchlist Match,,,0,Savings,South,Coimbatore,2L-5L,Very High
ALT0000988,CUS001464,ANL017,Trade-Based Money Laundering,True Positive — STR Filed,95.1,114551.04,2022-09-11,2022-09-28,17.0,20,0.0,2022,9,Q3,2022-09,ML Anomaly Model,,STR-2022-8100,0,Savings,South,Chennai,2L-5L,Medium
ALT0000989,CUS000146,ANL010,Suspected Mule Account,False Positive,5.93,3023972.19,2022-07-06,2022-07-22,16.0,15,1.0,2022,7,Q3,2022-07,Peer Comparison Model,,,0,Savings,West,Mumbai,2L-5L,Low
ALT0000990,CUS000316,ANL014,High-Risk Jurisdiction Transfer,True Positive — STR Filed,11.5,5065.51,2022-08-22,2022-08-25,3.0,15,0.0,2022,8,Q3,2022-08,Rule-Based Engine,Panama,STR-2022-9226,0,Current,East,Ranchi,25L-50L,Low
ALT0000991,CUS001114,ANL001,Shell Company Activity,True Positive — STR Filed,15.7,99392.36,2024-07-09,2024-07-17,8.0,10,0.0,2024,7,Q3,2024-07,Watchlist Match,,STR-2024-1770,0,NRE,West,Nagpur,2L-5L,Medium
ALT0000992,CUS001487,ANL010,Trade-Based Money Laundering,True Positive — No STR,46.36,16140.1,2024-01-14,2024-01-15,1.0,15,0.0,2024,1,Q1,2024-01,ML Anomaly Model,,,0,Current,West,Ahmedabad,5L-10L,Low
ALT0000993,CUS001636,ANL013,PEP-Related Transaction,True Positive — STR Filed,53.01,15969.42,2022-06-24,2022-07-19,25.0,15,1.0,2022,6,Q2,2022-06,Manual Referral,,STR-2022-8911,0,Current,Central,Jabalpur,<2L,Low
ALT0000994,CUS001911,ANL009,Rapid Fund Movement,True Positive — STR Filed,63.91,294624.69,2024-12-08,2024-12-15,7.0,15,0.0,2024,12,Q4,2024-12,Rule-Based Engine,,STR-2024-5272,0,Savings,East,Bhubaneswar,25L-50L,Low
ALT0000995,CUS001136,ANL008,Rapid Fund Movement,True Positive — No STR,46.4,47593.94,2024-02-26,2024-03-10,13.0,10,1.0,2024,2,Q1,2024-02,Manual Referral,,,0,Savings,West,Nagpur,10L-25L,Medium
ALT0000996,CUS001328,ANL017,Suspected Mule Account,True Positive — STR Filed,40.39,2817330.96,2024-11-13,2024-11-22,9.0,20,0.0,2024,11,Q4,2024-11,Manual Referral,,STR-2024-3635,0,Current,East,Kolkata,10L-25L,Low
ALT0000997,CUS001377,ANL001,Dormant Account Reactivation,False Positive,12.12,4251440.91,2022-11-24,2022-12-11,17.0,10,1.0,2022,11,Q4,2022-11,ML Anomaly Model,,,0,Savings,West,Mumbai,5L-10L,Medium
ALT0000998,CUS000010,ANL017,PEP-Related Transaction,False Positive,24.51,42313.31,2024-02-15,2024-03-05,19.0,20,0.0,2024,2,Q1,2024-02,ML Anomaly Model,,,0,Current,North,Lucknow,2L-5L,Low
ALT0000999,CUS001661,ANL009,Shell Company Activity,False Positive,37.9,1103800.14,2024-02-19,2024-03-13,23.0,15,1.0,2024,2,Q1,2024-02,Peer Comparison Model,,,0,Current,Central,Bhopal,<2L,Medium
ALT0001000,CUS000829,ANL004,Trade-Based Money Laundering,False Positive,36.72,257142.61,2022-03-31,2022-04-08,8.0,10,0.0,2022,3,Q1,2022-03,Rule-Based Engine,,,0,Savings,Central,Indore,5L-10L,Low
ALT0001001,CUS000168,ANL016,Trade-Based Money Laundering,Pending Review,5.69,23464.03,2022-12-16,,,20,,2022,12,Q4,2022-12,ML Anomaly Model,,,0,Current,North,Lucknow,>50L,Medium
ALT0001002,CUS001489,ANL015,Suspected Mule Account,False Positive,72.88,425952.85,2023-11-18,2023-11-25,7.0,20,0.0,2023,11,Q4,2023-11,ML Anomaly Model,,,0,Savings,North,Jaipur,5L-10L,Low
ALT0001003,CUS000996,ANL013,Trade-Based Money Laundering,False Positive,2.83,12544850.62,2022-11-04,2022-11-14,10.0,15,0.0,2022,11,Q4,2022-11,Peer Comparison Model,,,0,Overdraft,North,Lucknow,5L-10L,Medium
ALT0001004,CUS001306,ANL005,Shell Company Activity,False Positive,87.53,185752.74,2022-11-29,2022-12-02,3.0,10,0.0,2022,11,Q4,2022-11,ML Anomaly Model,,,0,Savings,North,Lucknow,25L-50L,Low
ALT0001005,CUS000579,ANL003,Dormant Account Reactivation,False Positive,10.92,2139544.82,2022-10-24,2022-11-02,9.0,10,0.0,2022,10,Q4,2022-10,Rule-Based Engine,,,0,Fixed Deposit,East,Bhubaneswar,2L-5L,Low
ALT0001006,CUS000685,ANL001,Round-Tripping,False Positive,37.92,30165.17,2023-01-02,2023-01-03,1.0,10,0.0,2023,1,Q1,2023-01,Watchlist Match,,,0,NRO,Central,Indore,5L-10L,Low
ALT0001007,CUS000467,ANL013,High-Risk Jurisdiction Transfer,False Positive,78.41,51216.35,2022-04-16,2022-04-18,2.0,15,0.0,2022,4,Q2,2022-04,Peer Comparison Model,British Virgin Islands,,0,Current,South,Bengaluru,5L-10L,Low
ALT0001008,CUS000059,ANL010,Trade-Based Money Laundering,False Positive,64.67,97979.46,2024-05-09,2024-05-15,6.0,15,0.0,2024,5,Q2,2024-05,Watchlist Match,,,0,Overdraft,North,Lucknow,10L-25L,Medium
ALT0001009,CUS001823,ANL015,Rapid Fund Movement,True Positive — No STR,75.41,276185.93,2023-09-23,2023-10-17,24.0,20,1.0,2023,9,Q3,2023-09,ML Anomaly Model,,,0,NRE,Central,Indore,5L-10L,Medium
ALT0001010,CUS001969,ANL005,High-Risk Jurisdiction Transfer,True Positive — STR Filed,11.99,38768.77,2023-09-26,2023-10-10,14.0,10,1.0,2023,9,Q3,2023-09,Watchlist Match,Panama,STR-2023-6122,0,Fixed Deposit,West,Nagpur,5L-10L,Medium
ALT0001011,CUS000759,ANL020,High-Risk Jurisdiction Transfer,True Positive — No STR,73.46,54144.82,2024-07-02,2024-07-20,18.0,30,0.0,2024,7,Q3,2024-07,Watchlist Match,Panama,,0,Savings,Central,Jabalpur,>50L,Low
ALT0001012,CUS001213,ANL011,Trade-Based Money Laundering,True Positive — STR Filed,43.86,117052.94,2023-08-15,2023-08-22,7.0,15,0.0,2023,8,Q3,2023-08,Peer Comparison Model,,STR-2023-9770,0,Savings,Central,Raipur,2L-5L,Low
ALT0001013,CUS001073,ANL013,Structuring / Smurfing,Escalated to MLRO,6.0,1985226.14,2023-01-06,2023-01-18,12.0,15,0.0,2023,1,Q1,2023-01,Rule-Based Engine,,,1,Savings,North,Jaipur,5L-10L,Low
ALT0001014,CUS000032,ANL020,Unusual Cash Activity,False Positive,18.3,116048.73,2022-08-29,2022-09-01,3.0,30,0.0,2022,8,Q3,2022-08,ML Anomaly Model,,,0,Savings,South,Hyderabad,2L-5L,Medium
ALT0001015,CUS001271,ANL012,Rapid Fund Movement,False Positive,23.0,3616.55,2022-09-27,2022-10-16,19.0,15,1.0,2022,9,Q3,2022-09,Peer Comparison Model,,,0,Current,West,Mumbai,2L-5L,Low
ALT0001016,CUS001095,ANL007,Structuring / Smurfing,False Positive,50.8,1424.41,2023-02-20,2023-02-26,6.0,10,0.0,2023,2,Q1,2023-02,Rule-Based Engine,,,0,Current,Central,Indore,2L-5L,Medium
ALT0001017,CUS001490,ANL016,Structuring / Smurfing,False Positive,87.29,243598.03,2022-01-08,2022-01-10,2.0,20,0.0,2022,1,Q1,2022-01,Manual Referral,,,0,Overdraft,East,Patna,10L-25L,Low
ALT0001018,CUS000445,ANL015,PEP-Related Transaction,False Positive,25.92,167364.68,2023-06-03,2023-06-15,12.0,20,0.0,2023,6,Q2,2023-06,Peer Comparison Model,,,0,Savings,South,Chennai,5L-10L,Low
ALT0001019,CUS001966,ANL012,Suspected Mule Account,Pending Review,18.08,765420.08,2022-01-26,,,15,,2022,1,Q1,2022-01,Watchlist Match,,,0,Overdraft,Central,Bhopal,<2L,Medium
ALT0001020,CUS001377,ANL016,Suspected Mule Account,True Positive — STR Filed,77.86,568099.93,2024-07-28,2024-08-07,10.0,20,0.0,2024,7,Q3,2024-07,Peer Comparison Model,,STR-2024-7398,0,Savings,West,Mumbai,5L-10L,Medium
ALT0001021,CUS001987,ANL019,Dormant Account Reactivation,False Positive,30.61,310730.96,2024-10-16,2024-10-19,3.0,30,0.0,2024,10,Q4,2024-10,Peer Comparison Model,,,0,Savings,East,Ranchi,10L-25L,Low
ALT0001022,CUS001514,ANL002,Rapid Fund Movement,Under Investigation,43.48,1817345.81,2024-10-18,,,10,,2024,10,Q4,2024-10,Watchlist Match,,,0,NRE,South,Hyderabad,<2L,Medium
ALT0001023,CUS000709,ANL017,Round-Tripping,True Positive — STR Filed,29.77,25347.12,2022-01-12,2022-01-25,13.0,20,0.0,2022,1,Q1,2022-01,Watchlist Match,,STR-2022-3062,0,NRO,West,Pune,5L-10L,Low
ALT0001024,CUS000727,ANL015,Shell Company Activity,Escalated to MLRO,36.5,649464.45,2024-10-07,2024-11-02,26.0,20,1.0,2024,10,Q4,2024-10,ML Anomaly Model,,,1,Overdraft,East,Patna,2L-5L,Low
ALT0001025,CUS000901,ANL019,Unusual Cash Activity,False Positive,35.16,126388.74,2023-05-03,2023-06-08,36.0,30,1.0,2023,5,Q2,2023-05,Peer Comparison Model,,,0,Current,East,Guwahati,2L-5L,Low
ALT0001026,CUS001434,ANL013,PEP-Related Transaction,True Positive — No STR,10.07,581827.77,2023-03-21,2023-03-31,10.0,15,0.0,2023,3,Q1,2023-03,Rule-Based Engine,,,0,Current,South,Hyderabad,2L-5L,Low
ALT0001027,CUS000637,ANL009,Suspected Mule Account,False Positive,15.72,44709.97,2024-09-01,2024-09-09,8.0,15,0.0,2024,9,Q3,2024-09,Peer Comparison Model,,,0,Savings,East,Kolkata,25L-50L,High
ALT0001028,CUS000415,ANL012,PEP-Related Transaction,False Positive,43.51,74141.78,2024-07-18,2024-08-07,20.0,15,1.0,2024,7,Q3,2024-07,Rule-Based Engine,,,0,Savings,North,Amritsar,2L-5L,Low
ALT0001029,CUS001930,ANL002,PEP-Related Transaction,Under Investigation,57.35,80301.07,2024-04-19,,,10,,2024,4,Q2,2024-04,Manual Referral,,,0,Overdraft,West,Mumbai,2L-5L,High
ALT0001030,CUS000978,ANL008,Round-Tripping,Under Investigation,14.13,79366.05,2024-06-23,,,10,,2024,6,Q2,2024-06,Peer Comparison Model,,,0,Current,East,Kolkata,10L-25L,Medium
ALT0001031,CUS000266,ANL015,High-Risk Jurisdiction Transfer,True Positive — STR Filed,95.22,8359.91,2022-06-12,2022-06-25,13.0,20,0.0,2022,6,Q2,2022-06,Peer Comparison Model,Panama,STR-2022-8813,0,Savings,North,Chandigarh,5L-10L,Low
ALT0001032,CUS001054,ANL004,PEP-Related Transaction,False Positive,21.76,24150.55,2022-01-14,2022-01-16,2.0,10,0.0,2022,1,Q1,2022-01,Peer Comparison Model,,,0,Current,East,Patna,5L-10L,Low
ALT0001033,CUS000791,ANL008,PEP-Related Transaction,False Positive,67.4,1598023.71,2023-05-17,2023-05-25,8.0,10,0.0,2023,5,Q2,2023-05,Manual Referral,,,0,Current,South,Bengaluru,10L-25L,High
ALT0001034,CUS000151,ANL017,PEP-Related Transaction,True Positive — STR Filed,93.78,5147.85,2023-07-24,2023-08-02,9.0,20,0.0,2023,7,Q3,2023-07,Watchlist Match,,STR-2023-6857,0,Current,North,Amritsar,5L-10L,Medium
ALT0001035,CUS001373,ANL008,Trade-Based Money Laundering,False Positive,78.64,742558.71,2023-03-02,2023-03-05,3.0,10,0.0,2023,3,Q1,2023-03,Watchlist Match,,,0,Savings,East,Patna,<2L,Low
ALT0001036,CUS001280,ANL009,Shell Company Activity,True Positive — STR Filed,26.26,1088564.33,2022-04-11,2022-05-05,24.0,15,1.0,2022,4,Q2,2022-04,Peer Comparison Model,,STR-2022-6805,0,Savings,South,Chennai,5L-10L,Low
ALT0001037,CUS001554,ANL012,Suspected Mule Account,True Positive — No STR,50.71,688136.91,2023-01-14,2023-02-07,24.0,15,1.0,2023,1,Q1,2023-01,Rule-Based Engine,,,0,Savings,Central,Raipur,5L-10L,Medium
ALT0001038,CUS000148,ANL007,High-Risk Jurisdiction Transfer,False Positive,70.96,23253.4,2022-10-31,2022-11-08,8.0,10,0.0,2022,10,Q4,2022-10,Peer Comparison Model,British Virgin Islands,,0,Savings,Central,Gwalior,5L-10L,High
ALT0001039,CUS000627,ANL004,Unusual Cash Activity,False Positive,85.0,270226.9,2022-04-23,2022-04-28,5.0,10,0.0,2022,4,Q2,2022-04,Peer Comparison Model,,,0,Savings,West,Mumbai,10L-25L,Low
ALT0001040,CUS001756,ANL006,Dormant Account Reactivation,Under Investigation,21.33,607690.41,2023-12-16,,,10,,2023,12,Q4,2023-12,ML Anomaly Model,,,0,Savings,North,Delhi,10L-25L,Low
ALT0001041,CUS000202,ANL005,Round-Tripping,False Positive,10.24,123309.36,2022-03-17,2022-03-30,13.0,10,1.0,2022,3,Q1,2022-03,Watchlist Match,,,0,Current,West,Pune,5L-10L,Low
ALT0001042,CUS000283,ANL009,Unusual Cash Activity,Pending Review,71.05,61378.79,2022-10-25,,,15,,2022,10,Q4,2022-10,Peer Comparison Model,,,0,Current,East,Guwahati,10L-25L,High
ALT0001043,CUS001575,ANL009,PEP-Related Transaction,Escalated to MLRO,66.38,11060.09,2022-03-08,2022-03-19,11.0,15,0.0,2022,3,Q1,2022-03,Rule-Based Engine,,,1,Savings,South,Chennai,<2L,Low
ALT0001044,CUS001544,ANL018,Unusual Cash Activity,False Positive,50.46,6222256.27,2023-09-04,2023-09-19,15.0,20,0.0,2023,9,Q3,2023-09,Rule-Based Engine,,,0,NRO,Central,Jabalpur,>50L,Medium
ALT0001045,CUS000999,ANL012,Trade-Based Money Laundering,Escalated to MLRO,70.73,115521.02,2023-11-10,2023-11-13,3.0,15,0.0,2023,11,Q4,2023-11,ML Anomaly Model,,,1,NRO,South,Hyderabad,2L-5L,Low
ALT0001046,CUS000586,ANL020,Structuring / Smurfing,False Positive,47.68,228300.6,2022-06-29,2022-07-02,3.0,30,0.0,2022,6,Q2,2022-06,Peer Comparison Model,,,0,Fixed Deposit,Central,Indore,5L-10L,Medium
ALT0001047,CUS000606,ANL011,High-Risk Jurisdiction Transfer,True Positive — No STR,79.31,26910.51,2022-04-11,2022-04-17,6.0,15,0.0,2022,4,Q2,2022-04,Manual Referral,British Virgin Islands,,0,Overdraft,South,Bengaluru,<2L,Low
ALT0001048,CUS001329,ANL014,High-Risk Jurisdiction Transfer,True Positive — STR Filed,79.46,490501.75,2022-08-12,2022-08-28,16.0,15,1.0,2022,8,Q3,2022-08,ML Anomaly Model,UAE,STR-2022-4443,0,Savings,Central,Bhopal,2L-5L,Low
ALT0001049,CUS000079,ANL009,Shell Company Activity,False Positive,81.99,228682.05,2024-05-03,2024-05-11,8.0,15,0.0,2024,5,Q2,2024-05,Watchlist Match,,,0,NRO,East,Patna,5L-10L,Low
ALT0001050,CUS000761,ANL005,PEP-Related Transaction,False Positive,96.34,38183.5,2023-01-01,2023-01-18,17.0,10,1.0,2023,1,Q1,2023-01,Manual Referral,,,0,Savings,West,Nagpur,2L-5L,Low
ALT0001051,CUS000571,ANL019,Round-Tripping,False Positive,82.49,71008.4,2022-11-27,2022-12-03,6.0,30,0.0,2022,11,Q4,2022-11,Peer Comparison Model,,,0,Savings,West,Pune,5L-10L,Low
ALT0001052,CUS001227,ANL001,Round-Tripping,False Positive,0.14,118862.87,2023-08-06,2023-08-13,7.0,10,0.0,2023,8,Q3,2023-08,Watchlist Match,,,0,Savings,North,Jaipur,10L-25L,Low
ALT0001053,CUS001483,ANL003,Rapid Fund Movement,True Positive — No STR,89.4,60551.79,2022-12-30,2023-01-06,7.0,10,0.0,2022,12,Q4,2022-12,Peer Comparison Model,,,0,Savings,Central,Indore,5L-10L,Medium
ALT0001054,CUS000997,ANL017,Round-Tripping,Pending Review,38.54,28634.99,2024-07-21,,,20,,2024,7,Q3,2024-07,Manual Referral,,,0,Current,South,Chennai,5L-10L,Low
ALT0001055,CUS001422,ANL013,PEP-Related Transaction,True Positive — No STR,87.46,2570.72,2024-01-08,2024-01-15,7.0,15,0.0,2024,1,Q1,2024-01,Rule-Based Engine,,,0,Savings,Central,Indore,5L-10L,Medium
ALT0001056,CUS001817,ANL012,Shell Company Activity,False Positive,11.14,810325.66,2022-03-15,2022-03-23,8.0,15,0.0,2022,3,Q1,2022-03,Rule-Based Engine,,,0,Current,North,Lucknow,2L-5L,Medium
ALT0001057,CUS001016,ANL001,Dormant Account Reactivation,False Positive,55.61,24178.66,2022-07-10,2022-07-13,3.0,10,0.0,2022,7,Q3,2022-07,ML Anomaly Model,,,0,Current,West,Mumbai,10L-25L,Low
ALT0001058,CUS001168,ANL019,Shell Company Activity,False Positive,47.63,46357.58,2023-09-05,2023-09-09,4.0,30,0.0,2023,9,Q3,2023-09,ML Anomaly Model,,,0,Current,East,Kolkata,5L-10L,Low
ALT0001059,CUS001693,ANL015,Round-Tripping,Under Investigation,44.93,185024.8,2023-10-24,,,20,,2023,10,Q4,2023-10,ML Anomaly Model,,,0,NRE,East,Kolkata,2L-5L,Low
ALT0001060,CUS001855,ANL005,Suspected Mule Account,False Positive,88.91,60052.61,2024-01-25,2024-02-01,7.0,10,0.0,2024,1,Q1,2024-01,Peer Comparison Model,,,0,Savings,West,Pune,5L-10L,High
ALT0001061,CUS000634,ANL010,High-Risk Jurisdiction Transfer,Pending Review,51.72,1805728.39,2024-02-16,,,15,,2024,2,Q1,2024-02,Rule-Based Engine,British Virgin Islands,,0,Overdraft,Central,Indore,5L-10L,Low
ALT0001062,CUS000870,ANL015,Round-Tripping,True Positive — No STR,63.89,183405.45,2022-05-19,2022-06-08,20.0,20,0.0,2022,5,Q2,2022-05,Rule-Based Engine,,,0,NRO,North,Chandigarh,25L-50L,Low
ALT0001063,CUS001708,ANL014,Shell Company Activity,True Positive — STR Filed,60.75,224011.9,2024-05-25,2024-05-26,1.0,15,0.0,2024,5,Q2,2024-05,Watchlist Match,,STR-2024-3469,0,Current,Central,Jabalpur,10L-25L,Medium
ALT0001064,CUS001020,ANL018,Rapid Fund Movement,False Positive,87.14,776366.01,2022-05-13,2022-05-19,6.0,20,0.0,2022,5,Q2,2022-05,Rule-Based Engine,,,0,Overdraft,South,Coimbatore,10L-25L,Medium
ALT0001065,CUS001515,ANL009,Dormant Account Reactivation,False Positive,24.53,73836.79,2023-08-23,2023-08-29,6.0,15,0.0,2023,8,Q3,2023-08,Peer Comparison Model,,,0,Current,Central,Bhopal,5L-10L,Medium
ALT0001066,CUS000458,ANL002,Structuring / Smurfing,True Positive — STR Filed,20.97,44600.22,2024-08-22,2024-08-26,4.0,10,0.0,2024,8,Q3,2024-08,Peer Comparison Model,,STR-2024-9455,0,Current,East,Guwahati,5L-10L,Low
ALT0001067,CUS001832,ANL012,High-Risk Jurisdiction Transfer,True Positive — No STR,36.08,25372.35,2022-10-03,2022-10-18,15.0,15,0.0,2022,10,Q4,2022-10,Manual Referral,Cayman Islands,,0,Savings,West,Nagpur,5L-10L,High
ALT0001068,CUS001618,ANL007,PEP-Related Transaction,False Positive,52.58,77486.42,2022-09-07,2022-09-16,9.0,10,0.0,2022,9,Q3,2022-09,Rule-Based Engine,,,0,Current,Central,Jabalpur,10L-25L,Very High
ALT0001069,CUS000043,ANL001,Structuring / Smurfing,True Positive — No STR,46.49,118340.92,2023-07-17,2023-07-20,3.0,10,0.0,2023,7,Q3,2023-07,Rule-Based Engine,,,0,Savings,North,Amritsar,5L-10L,Low
ALT0001070,CUS001418,ANL009,Rapid Fund Movement,False Positive,93.28,26084.4,2023-11-06,2023-11-14,8.0,15,0.0,2023,11,Q4,2023-11,Rule-Based Engine,,,0,Savings,East,Patna,2L-5L,Low
ALT0001071,CUS000035,ANL018,Shell Company Activity,True Positive — STR Filed,64.96,89746.26,2024-12-15,2025-01-16,32.0,20,1.0,2024,12,Q4,2024-12,Manual Referral,,STR-2024-8939,0,Current,South,Kochi,5L-10L,High
ALT0001072,CUS000539,ANL018,Structuring / Smurfing,False Positive,58.77,211345.17,2024-04-27,2024-04-28,1.0,20,0.0,2024,4,Q2,2024-04,Manual Referral,,,0,Current,East,Bhubaneswar,5L-10L,Medium
